Content,Region,Country,Mild,Moderate,Extreme
Labelled,High,France,4,0,3
Labelled,High,UK,4,0,0
Labelled,High,US,3,0,1
Labelled,High,Sweden,7,1,0
Labelled,High,Germany,2,2,1
Labelled,Low,Pakistan,8,8,14
Labelled,Low,Morocco,12,7,14
Labelled,Low,Bangladesh,14,20,10
Labelled,Low,Sri Lanka,29,14,9
Labelled,Low,Venezuela,31,15,10
Unlabelled,High,France,7,5,4
Unlabelled,High,UK,3,9,7
Unlabelled,High,US,8,2,6
Unlabelled,High,Sweden,2,1,1
Unlabelled,High,Germany,1,3,3
Unlabelled,Low,Pakistan,11,7,10
Unlabelled,Low,Morocco,3,11,9
Unlabelled,Low,Bangladesh,8,16,19
Unlabelled,Low,Sri Lanka,14,18,11
Unlabelled,Low,Venezuela,16,15,22
