Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,song with slang and inappropriate language,Moderate
https://www.youtube.com/watch?v=drJbZqH7_Y8,irrelevant,Education & Learning,educational resources for TOFEL,
https://www.youtube.com/watch?v=M0CdxaT7DpM,irrelevant,Fitness & Exercise,fitness equipments for home,
https://www.youtube.com/watch?v=sK4zo9a60-g,irrelevant,Tech & Gadgets,android tv ad,
https://www.youtube.com/watch?v=NLeg435A9CE,irrelevant,Music & Performance,punjabi song,
https://www.youtube.com/watch?v=-9m710pHDK4,inappropriate,Intimacy,"song with mild intimacy display, relationships",Mild
https://www.youtube.com/watch?v=tfpjMJGDs7g,irrelevant,Science & Technology,equipments for tractors ,
https://www.youtube.com/watch?v=vAwkamysdq4,child directed,Cooking and Food,break from studies woth tang,
https://www.youtube.com/watch?v=mxrZqIA4660,inappropriate,Gambling,display of casinos and chips,Mild
https://www.youtube.com/watch?v=W7q-n_V1lyg,inappropriate,Intimacy,song with slight display of intimacy,Mild
https://www.youtube.com/watch?v=u9EDS6OVwh0,inappropriate,"Drinking, drugs, smoking",song with clear drinking,Extreme
https://www.youtube.com/watch?v=i6ao_PLOLOg,inaudible,Different Language,arabic song,
https://www.youtube.com/watch?v=K77-yXo-0r0,irrelevant,Nature & Environment,huge garden with many different types flowers,
https://www.youtube.com/watch?v=jZ6xXXxdQDk,irrelevant,Autos & Vehicles,"cars video, being cleaned and driven",
https://www.youtube.com/watch?v=kHdUFZ16Yt0,irrelevant,Nature & Environment,huge garden with many different types flowers,
https://www.youtube.com/watch?v=URPjeqQgkUg,inappropriate,Display of weapons,"knife, guns, fire, blood, drinking, sexual content, intimcy",Extreme
https://www.youtube.com/watch?v=NBVfKWzlrP4,irrelevant,Tech & Gadgets,5g service for mobiles,
https://www.youtube.com/watch?v=neJdiNIGrxQ,irrelevant,Tech & Gadgets,mobile service ad,
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Gaming & Entertainment,roblox video game with people and cars,
https://www.youtube.com/watch?v=ZTUoDmiUzRo,inappropriate,Intimacy,telugu song with portrayal of intimacy,Mild
https://www.youtube.com/watch?v=WvK03rWxprI,inappropriate,"Drinking, drugs, smoking","smoking, intimacy, romantic music in the background",Extreme
https://www.youtube.com/watch?v=1UYPewi3bwM,child directed,Health and Hygiene for Kids,dettol soap kids ad,
https://www.youtube.com/watch?v=SfU0JolVF78,irrelevant,Nature & Environment,randoms videos and images of cats,
https://www.youtube.com/watch?v=CDAKwVZtaoU,irrelevant,Education & Learning,folders usually used to keep papers and documents,
https://www.youtube.com/watch?v=q41N_5Yy_-E,inappropriate,Intimacy,"portrayal of romantic relationships, intimacy, and slight display of fire in the background for 2seconds",Moderate
https://www.youtube.com/watch?v=D4MEXlLNjCA,inaudible,Different Language,arabic song,
https://www.youtube.com/watch?v=LJIYPaDiASA,inappropriate,Display of weapons,"weapns, physical violence, intimacy., drinking",Extreme
