Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,Extreme,A music video containing offensive lyrics and the cover is also dark and scary for younger audience
https://www.youtube.com/watch?v=drJbZqH7_Y8,irrelevant,Education & Learning,,TOEFL Preparation ad for higher education (admissions in colleges and universities
https://www.youtube.com/watch?v=M0CdxaT7DpM,irrelevant,Fitness & Exercise,,A website ad selling gym equipment and exercise machines
https://www.youtube.com/watch?v=sK4zo9a60-g,irrelevant,Home and Lifestyle,,LED/ smart TV ad
https://www.youtube.com/watch?v=NLeg435A9CE,irrelevant,Music & Performance,,Music video about wanting to go back to their homeplace living abroad. Does not include anythin inappropriate
https://www.youtube.com/watch?v=-9m710pHDK4,inappropriate,Intimacy,Mild,Music video containing a little intimacy/relationships
https://www.youtube.com/watch?v=tfpjMJGDs7g,irrelevant,Machinery,,Ad about Farming and associated machines with their body parts. The audio was in a different language
https://www.youtube.com/watch?v=vAwkamysdq4,child directed,Kids Cooking & Food,,"Tang ad, juice/drink targetting kids"
https://www.youtube.com/watch?v=mxrZqIA4660,inappropriate,Gambling,Mild,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=W7q-n_V1lyg,inaudible,Different Language,,"Music video but the Audio is in different language, hints towards relationships/love"
https://www.youtube.com/watch?v=u9EDS6OVwh0,inappropriate,"Drinking, drugs, smoking",Moderate,Music video containing a group of guys drinking
https://www.youtube.com/watch?v=i6ao_PLOLOg,inaudible,Different Language,,Music video but the Audio is in different language
https://www.youtube.com/watch?v=K77-yXo-0r0,irrelevant,Nature & Environment,,TikTok showing nature
https://www.youtube.com/watch?v=jZ6xXXxdQDk,irrelevant,Autos & Vehicles,,Sports car ad. Does include a v short clip of a window crashing
https://www.youtube.com/watch?v=kHdUFZ16Yt0,irrelevant,Nature & Environment,,TikTok showing nature
https://www.youtube.com/watch?v=URPjeqQgkUg,inappropriate,Display of weapons,Extreme,"Movie trailer, with extreme violence, intimacy, weapons, drinking"
https://www.youtube.com/watch?v=NBVfKWzlrP4,irrelevant,Home and Lifestyle,,Internet Service Ad
https://www.youtube.com/watch?v=neJdiNIGrxQ,irrelevant,Tech & Gadgets,,Telephone Mobile Network service ad
https://www.youtube.com/watch?v=1UKKXFir0Cc,irrelevant,Software,,3D modeling software
https://www.youtube.com/watch?v=ZTUoDmiUzRo,inappropriate,Intimacy,Mild,Music video with intimacy and dance
https://www.youtube.com/watch?v=WvK03rWxprI,inappropriate,"Drinking, drugs, smoking",Moderate,Person shown smoking and interpersonal violence
https://www.youtube.com/watch?v=1UYPewi3bwM,child directed,Health and Hygiene for Kids,,Dettol ad showing a kid showering and cleaning using dettol. Target audience is kids
https://www.youtube.com/watch?v=SfU0JolVF78,irrelevant,Comedy & Entertainment,,Tiktok containing cats being funny
https://www.youtube.com/watch?v=CDAKwVZtaoU,irrelevant,Art & Design,,Website for personalized covers
https://www.youtube.com/watch?v=q41N_5Yy_-E,inappropriate,Intimacy,Mild,Music video containing intimacy and a couple standing in a fire
https://www.youtube.com/watch?v=D4MEXlLNjCA,inaudible,Different Language,,Music video but in a different language
https://www.youtube.com/watch?v=LJIYPaDiASA,inappropriate,Display of weapons,Extreme,"Music video containing weapons, drinking and intimacy"
https://www.youtube.com/watch?v=D2OFZhYs9jY,irrelevant,Gaming & Entertainment,,Interviewing Game designers and the production team of an animated game
https://www.youtube.com/watch?v=ITSlKA4BlwU,inaudible,Different Language,,People talking in a different language
https://www.youtube.com/watch?v=EpitP0JzuPc,irrelevant,Education & Learning,,Online courses for stack engineering
https://www.youtube.com/watch?v=Al_hHfSJf6s,irrelevant,Music & Performance,,Orchestra playing violins
https://www.youtube.com/watch?v=CzHeUrM5B8Y,inappropriate,Gambling,Mild,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=XjGOVVjeIk0,inappropriate,Gambling,Moderate,Sports betting app with a few wrestling clips. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=CQz1viReDWo,child directed,DIY & Arts and Crafts,,Origami DIY Content for kids
https://www.youtube.com/watch?v=PDhuBthUMFE,inappropriate,Intimacy,Moderate,Music video contain intimacy
https://www.youtube.com/watch?v=YT2Tcehr36Y,inappropriate,Gambling,Moderate,Music video shows a gambling group
https://www.youtube.com/watch?v=bbnQupMEoow,inappropriate,Extreme stunts ,Mild,3D design software but includes a few stunt clips
https://www.youtube.com/watch?v=0dhpnvRi6u0,irrelevant,Home and Lifestyle,,Refrigerator ad
https://www.youtube.com/watch?v=5Ww2HbuFbtw,irrelevant,Personal Care & Beauty,Mild,Sanitary pads ad
https://www.youtube.com/watch?v=jbHbdsccfc8,irrelevant,Personal Development,,A woman promoting her art journey and motivating others on a new channel
https://www.youtube.com/watch?v=wwMZQ-8Jtdw,inappropriate,Display of weapons,Moderate,Music video contains People holding guns and a little violence
https://www.youtube.com/watch?v=Bs8wJi6AmUc,irrelevant,Software,,Software related to UI/UX and programming. In a different language so cant completely understand
https://www.youtube.com/watch?v=iGfNdQddRKk,irrelevant,Home and Lifestyle,,Fiber shade ad for parks and outdoor sitting. 
https://www.youtube.com/watch?v=Cq1QdZiVAYg,inaudible,Different Language,,Tiktok ad containing music in a different language 
https://www.youtube.com/watch?v=NJYYseJfask,inappropriate,Intimacy,Mild,Music video containing intimacy
https://www.youtube.com/watch?v=gTGJa1BUIII,inappropriate,Gambling,Moderate,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=BHLVY4NNF6A,inappropriate,Intimacy,Mild,Music video containing intimacy
https://www.youtube.com/watch?v=5jmgDgvIcGA,inaudible,Different Language,,Music video in a different language but seems like it is related to relationships
https://www.youtube.com/watch?v=twql3OLp6Lk,irrelevant,Home and Lifestyle,,Air conditioning ad
https://www.youtube.com/watch?v=MOeFQWEqhUg,inaudible,Different Language,,Music video in a different language
https://www.youtube.com/watch?v=8AR3nVH22C0,irrelevant,Fight sports,,Includes Sports but the description is in a different language
https://www.youtube.com/watch?v=7rOMr_dz5so,inappropriate,Sexual content,Extreme,Music video includes sexual content/ dance intimacy and drinking as well
https://www.youtube.com/watch?v=zXOoza3sxiw,inaudible,Different Language,,Music video in a different language
https://www.youtube.com/watch?v=Gym3vzboXlY,inappropriate,Physical Violence,Extreme,"Music video includes physical, interpersonal violence, fire and accidents showing blood and death"
https://www.youtube.com/watch?v=5ODxRNXxoWg,irrelevant,Education & Learning,,TOEFL Preparation ad for higher education (admissions in colleges and universities
https://www.youtube.com/watch?v=1w0kjsSqIBM,inappropriate,Interpersonal Violence,Moderate,Movie trailer showing interpersonal violence and injuries
https://www.youtube.com/watch?v=5WJpSAWtI_4,irrelevant,Education & Learning,,Online course academy for higher education
https://www.youtube.com/watch?v=dC51cBNNXDI,irrelevant,Education & Learning,,Software tool that helps with grammatical errors and clear writing
https://www.youtube.com/watch?v=XljKLCQgh54,irrelevant,Music & Performance,,Music video on motherhood
https://www.youtube.com/watch?v=ApYnaPf814I,inappropriate,Sexual content,Moderate,Music video includes intimacy and some degree of sexual content. Audio is in a different language so can't understand the lyrics
https://www.youtube.com/watch?v=8QtJvG_dGcA,inappropriate,Gambling,Mild,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=OFrKdSnItqQ,irrelevant,Personal Care & Beauty,,Dettol body wash ad
https://www.youtube.com/watch?v=2sCZNLVQGns,inaudible,Different Language,,musical performance but in a different language so can't understand lyrics
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,,Expression ap that converts your expressions to animations
https://www.youtube.com/watch?v=QNXeE1ehBh0,irrelevant,Music & Performance,,Instrumental rap music
https://www.youtube.com/watch?v=L1HkxUlsybs,irrelevant,Health and Wellness,,Dettol ad with a kid being sick for not using the soap
https://www.youtube.com/watch?v=SBWjOBmqkuk,inappropriate,Interpersonal Violence,Extreme,"Music video containing violence, abuse. drinking and offensive language as well as intimacy"
https://www.youtube.com/watch?v=5gnG6-uSOLo,irrelevant,Health and Wellness,,Insecticide spray
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,,App for kids for education and learning
https://www.youtube.com/watch?v=AE9BTVpyuuQ,inappropriate,Display of weapons,Extreme,Music video displaying weapons and self injury and blood
https://www.youtube.com/watch?v=OVa0AzD4R80,inappropriate,Intimacy,Mild,Music video contains intimacy and dance. It is in a different language so can't understand the lyrics
https://www.youtube.com/watch?v=P4BYDo8b6qM,irrelevant,Education & Learning,,University ad for higher education
