Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=LJ_o_ZeuXDU,irrelevant,Autos & Vehicles,"ad for toyota, shows cars on the road",
https://www.youtube.com/watch?v=-aQHtWYUB1A,irrelevant,Sports & Athletics,"ad that contains an interview segment about football, features interviews w players on the ground ",
https://www.youtube.com/watch?v=LxLB3tII79Q,irrelevant,Software,"ad about a webinar platform targeted to businesses, lists its benefits ",
https://www.youtube.com/watch?v=IwQeU1WJhH8,irrelevant,Home and Lifestyle,"ad about a coworking/residential space, shows diff angles of space",
https://www.youtube.com/watch?v=TTDutQ1FoZo,irrelevant,Travel & Adventure,"ad about a travel ap for flight bookings,, also has a mermaid and underwater animation so can be mistaken as child directed",
https://www.youtube.com/watch?v=01Jqh2veeYc,irrelevant,Tech & Gadgets,"ad for a speaker, includes features",
https://www.youtube.com/watch?v=3XwCyfrCplI,irrelevant,Software,"ad for an app that provides cashbacks and other perks, has a person wearing a phone costume acting throughout the ad",
https://www.youtube.com/watch?v=_LMU8ehlctk,irrelevant,Software,"ad for a database management software, shows cars speeding",
https://www.youtube.com/watch?v=MNgFELH4KyY,irrelevant,Fashion,"features a lady outdoors modeling various clothing items, video shoot",
https://www.youtube.com/watch?v=WlARRkI4ZMc,irrelevant,Fashion,"stylist talking about her favorite shoe styles, ad for a shoe brand",
https://www.youtube.com/watch?v=PNLjw8ZS6IU,child directed,Toys,"shows children playing at home w different toys, particularly barbies",
https://www.youtube.com/watch?v=aeOTILojd38,irrelevant,Movies,trailer for a movie on disney + showing a single mom's story w a teenage daughter,
https://www.youtube.com/watch?v=RyRv1VmbxBg,irrelevant,Software,"ad for an app that provides cashbacks and coupon codes, shows someone trying to enter invalid coupon codes on laptop",
https://www.youtube.com/watch?v=wHlwsE8znXA,irrelevant,Software,"ad for canva, a design software's whiteboard feature",
https://www.youtube.com/watch?v=WfTGeSPRU6Q,child directed,Movies,"tailer for super mario, animated movie, labelled made for kids",
https://www.youtube.com/watch?v=asxeoJNgr8s,irrelevant,Autos & Vehicles,"ad for volvo, shows car features, talks in french",
https://www.youtube.com/watch?v=HJ3wvVx2INw,irrelevant,Business & Entrepreneurship,ad for a workplace report to download that will drive productivity ,
https://www.youtube.com/watch?v=9OU6ErcAxRE,irrelevant,Fashion,"ad for a clothing brand's christmas sale, but has a lot of animations",
https://www.youtube.com/watch?v=zXOoza3sxiw,irrelevant,Music & Performance,"korean boyband music video, shows the boyband roaming a city, in a field and dancing",
https://www.youtube.com/watch?v=wZ7Amwl-YAk,irrelevant,Machinery,ad for home improvement machinery like drills shoring a range of such products,
https://www.youtube.com/watch?v=eW_s6qSgtMg,irrelevant,Tech & Gadgets,ad showing samsung phone + laptop and features in use like camera,
https://www.youtube.com/watch?v=-8xuko7PTO8,child directed,Toys,"ad for monster high toys, references to show w diff characters each having a toy ",
https://www.youtube.com/watch?v=cLXbzi8rC7s,inappropriate,Scariness,"documentary about emergency team's response to car accidents, features multiple accidents, cars on fire etc + testimonials",moderate
https://www.youtube.com/watch?v=n1uMusIM9AA,irrelevant,Home and Lifestyle,ad about sale on kitchen items,
https://www.youtube.com/watch?v=4tvtYAMPsxI,inappropriate,Display of weapons,"trailer for indiana jones, contains scenes of slight violence and weapon use, gun shot in air",mild
https://www.youtube.com/watch?v=JTRrOVJooYQ,irrelevant,Fashion,msuical/dance performance for shoes ad,
https://www.youtube.com/watch?v=pVQzRnbk9jk,child directed,Fashion,"ad for kids clothing store, features kids having fun on rides and families",
