Video Link,Primary Tag,Secondary Tag,Rating,Description
https://youtube.com/watch?v=LJ_o_ZeuXDU,irrelevant,Autos & Vehicles,,Advert for cars
https://youtube.com/watch?v=-aQHtWYUB1A,irrelevant,Sports & Athletics,,Video discussion On Amazon Prime Video Sport France about football
https://youtube.com/watch?v=LxLB3tII79Q,irrelevant,Software,,15 second promo video for Vimeo
https://youtube.com/watch?v=IwQeU1WJhH8,irrelevant,Travel & Adventure,,Eco-technology park 
https://youtube.com/watch?v=TTDutQ1FoZo,irrelevant,Travel & Adventure,,Flight booking
https://youtube.com/watch?v=01Jqh2veeYc,irrelevant,Tech & Gadgets,,Headphone ads
https://youtube.com/watch?v=3XwCyfrCplI,irrelevant,Software,,Ad for honey - finding coupons
https://youtube.com/watch?v=_LMU8ehlctk,irrelevant,Software,,GUI for MongoDB
https://youtube.com/watch?v=MNgFELH4KyY,irrelevant,Fashion,,new summer collection for a clothing brand
https://youtube.com/watch?v=WlARRkI4ZMc,irrelevant,Fashion,,Designer shoe wear ad
https://youtube.com/watch?v=PNLjw8ZS6IU,child directed,Toys,,Ad for barbie dolls from mattel
https://youtube.com/watch?v=aeOTILojd38,irrelevant,Gaming & Entertainment,,"Trailer for Tiny beautiful Things movie on disney plus, show for teenagers, some yelling?"
https://youtube.com/watch?v=RyRv1VmbxBg,irrelevant,Software,,Ad for honey - finding coupons
https://youtube.com/watch?v=wHlwsE8znXA,irrelevant,Software,,Canva ad
https://youtube.com/watch?v=WfTGeSPRU6Q,child directed,Movies,,Trailer for The Super Mario Bros. Movie 
https://youtube.com/watch?v=asxeoJNgr8s,irrelevant,Autos & Vehicles,,Advert for cars
https://youtube.com/watch?v=HJ3wvVx2INw,irrelevant,Business & Entrepreneurship,,Get some sort of workplace report?
https://youtube.com/watch?v=9OU6ErcAxRE,irrelevant,Software,,Ad for wish shopping app
https://youtube.com/watch?v=zXOoza3sxiw,irrelevant,Music & Performance,,Music video from kpop group BTOB
https://youtube.com/watch?v=wZ7Amwl-YAk,irrelevant,Home and Office,,"ad for a hardware store, washing machine, drill etc"
https://youtube.com/watch?v=eW_s6qSgtMg,irrelevant,Tech & Gadgets,,ad for samsung smartphone
https://youtube.com/watch?v=-8xuko7PTO8,child directed,Toys,,toy store
https://youtube.com/watch?v=cLXbzi8rC7s,inappropriate,Scariness,Mild,"Documentary about firefighters, car crashes, fire etc etc"
https://youtube.com/watch?v=n1uMusIM9AA,irrelevant,Home and Office,,Kitchen appliances
https://youtube.com/watch?v=4tvtYAMPsxI,inappropriate,Display of weapons,Moderate,"Movie trailer for indianna jones, weapons included"
https://youtube.com/watch?v=JTRrOVJooYQ,irrelevant,Fashion,,Ad for skechers featuring broadway star
https://youtube.com/watch?v=pVQzRnbk9jk,child directed,Fashion for Kids,,Ad for Kiabi kids collection
https://youtube.com/watch?v=7RYH2fqK8eE,irrelevant,Nature & Environment,,1 Minute of Relaxing Water Running Nature Sounds for Instant Calm
https://youtube.com/watch?v=y7GxO2N-z2E,irrelevant,Fashion,,Ad for eye wear
https://youtube.com/watch?v=iiB0m3tADRU,irrelevant,Software,,Ad for audible.fr
https://youtube.com/watch?v=u6B18MxmzlA,irrelevant,Home and Office,,Ad for IKEA
https://youtube.com/watch?v=q2YOb6K1qMY,irrelevant,Software,,Some sort of ad for LinkedIn sales
https://youtube.com/watch?v=CiRQ3tOaIxA,irrelevant,Software,,Ad to make safe online payments
https://youtube.com/watch?v=62fhnp6Ywug,irrelevant,Tech & Gadgets,,Ad for speakers/sound system
https://youtube.com/watch?v=RCSC2jGDBos,irrelevant,Finance & Legal,,looks like some ad about property?
https://youtube.com/watch?v=schg8G9kVaI,irrelevant,Travel & Adventure,,"Music video promoting Busan, France"
https://youtube.com/watch?v=XC4vIvBBRls,irrelevant,Business & Entrepreneurship,,Rapid-flyer.com - Rapid Flyer Impression Express
https://youtube.com/watch?v=OmmNhuT2n8Q,child directed,Toys,,Rainbow high doll
https://youtube.com/watch?v=CBbhJUUxRKw,child directed,Toys,,ad for dolls
https://youtube.com/watch?v=foFeXhEc0wI,irrelevant,Home and Office,,someone recommending bedsheets
https://youtube.com/watch?v=Fzf6BSbINPQ,irrelevant,Software,,Ad for Document management system
