Video Link,Primary Tag,Secondary Tag,Rating,Description
https://youtube.com/watch?v=jgS5nO7mOOo,irrelevant,Travel & Adventure,,Top 10 secret locations to vist in london
https://youtube.com/watch?v=TjxskTJd9eM,irrelevant,Software,,Viam Robotics
https://youtube.com/watch?v=NvYDEN1m_AQ,child directed,Poems/Songs/Nursery Rhymes/Music,,ad for Bimi Boo - Kids Songs for Learning youtube channel
https://youtube.com/watch?v=_axD_oF_PU8,irrelevant,Finance & Legal,,cash plus banking app
https://youtube.com/watch?v=FobXWOeBLzQ,irrelevant,Music & Performance,,"drake type beat ""Deja Vu"" | lil durk x lil baby type beat | free dramatic trap type beat 2023"
https://youtube.com/watch?v=G-uIluMU7Vw,inaudible,Different Language,,arabic lyric video
https://youtube.com/watch?v=NhwFCVB6TJc,inaudible,,,looks like a video template of some sorts
https://youtube.com/watch?v=zfm3B9lGJ7s,irrelevant,Travel & Adventure,,fairmont hotel ad
https://youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,,Shopify Live Product Options App
https://youtube.com/watch?v=4PG7Y2V7FRc,irrelevant,Business & Entrepreneurship,,telecommunications business
https://youtube.com/watch?v=NWNTcOd33Qs,irrelevant,Home and Office,,shots of house interiors
https://youtube.com/watch?v=y8PtMj070_E,irrelevant,Home and Office,,azura home design
https://youtube.com/watch?v=_HNmDnfAfco,irrelevant,Music & Performance,,Sanda Sakly - Balwa - arabic mv
https://youtube.com/watch?v=pmJdFF_ahV0,inappropriate,Scariness,Mild,"arabic mv animated, cigarette, button eyes "
https://youtube.com/watch?v=qtp0SqLOEuE,irrelevant,Software,,Blender add-ons
https://youtube.com/watch?v=yHlLTV7E_8Q,irrelevant,Parenting & Family,,smart watch for children safety
https://youtube.com/watch?v=B6dJ4CrEWKo,irrelevant,Tech & Gadgets,,"Orange is one of the world's leading telecommunications operators, present in 29 countries and offering ICT services to businesses in 220 countries and territories; fibre optic ad im guessing"
https://youtube.com/watch?v=0ZTJpZULYfY,irrelevant,Finance & Legal,,insurance services
https://youtube.com/watch?v=gx3p8TfBl0o,irrelevant,Music & Performance,,
https://youtube.com/watch?v=adGpfVqKhnI,irrelevant,Education & Learning,,"ad for a school, school tour"
https://youtube.com/watch?v=c46Psa0YiuA,inappropriate,Inappropriate Clothing,Moderate,"kpop mv - shirtless man, burning couch, shady lyrics"
https://youtube.com/watch?v=pMCk7IX19WQ,inappropriate,Offensive language,Mild,"punjabi song - words like ""nasheeli"""
https://youtube.com/watch?v=Un7HmxoS4FY,irrelevant,Business & Entrepreneurship,,How We Hit $500K Selling Gadgets in the Middle East (Google Ads Guide) | AW Dubai 2023
https://youtube.com/watch?v=QsDLXpIH9Cg,inaudible,Different Language,,arabic lyric video
https://youtube.com/watch?v=tiOk6kAjlJs,irrelevant,Music & Performance,,flash mob on beach - Janabe Ali - Flash Mob
https://youtube.com/watch?v=qYzYsaX-22c,irrelevant,Music & Performance,,arabic mv
https://youtube.com/watch?v=Zmf9ZdvtwhU,irrelevant,Education & Learning,,Lodz University of Technology. Choose studies in the heart of Europe & heart of Poland!
https://youtube.com/watch?v=gJffNs6nie0,irrelevant,Tech & Gadgets,,ad for data packages
