Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=dUm3ptTQr0Q,irrelevant,Education & Learning,,All Major Data Mining Techniques Explained With Examples
https://www.youtube.com/watch?v=3Jv0Fycjc-w,inappropriate,"Drinking, drugs, smoking",Mild,"Arabic music vide, looks okay but the guy's smoking"
https://www.youtube.com/watch?v=_7-3okF7t9U,excluded,,,
https://www.youtube.com/watch?v=CzdklPLxCyU,irrelevant,Education & Learning,,"Skillbox is an educational platform that brings together leading market experts and practitioners, methodologists and producers of educational content."
https://www.youtube.com/watch?v=_MFBdUXYuZU,irrelevant,Sports & Athletics,,Music ad for a sport sclub (arabic)
https://www.youtube.com/watch?v=8wYSPQp8jNQ,child directed,Storytelling,,Adapted mind reading
https://www.youtube.com/watch?v=9neRRdw6d0A,inappropriate,Display of weapons,Mild,Cartoon/drawing depictions of weapons
https://www.youtube.com/watch?v=eJzsVAlqj-A,irrelevant,Software,,"Create a job-winning cover letter in minutes.
Use our professional cover letter templates to create a message that wows employers!"
https://www.youtube.com/watch?v=JdksJNvS-Fo,inappropriate,Display of weapons,Mild,"Ad for turkish historical drama, man holding a sword"
https://www.youtube.com/watch?v=01Nk76yT5Lc,inaudible,,,Chinese song with animated music video
https://www.youtube.com/watch?v=EO5XT4UvpYw,irrelevant,Education & Learning,,skillbox ad
https://www.youtube.com/watch?v=RgOsM1cx_mo,irrelevant,Travel & Adventure,,"Create a statement when you stay in our Royal Versace Villa. Tastefully equipped with a private pool, bespoke interiors and Versace artworks, the villa offers complete privacy and the chance to immerse in a truly Versace experience."
https://www.youtube.com/watch?v=2JCtG_URvBI,irrelevant,Fashion,,stylo eid collection
https://www.youtube.com/watch?v=-6dleqTJs0o,inappropriate,Offensive language,Mild,punjabi song
https://www.youtube.com/watch?v=-5Nn9YiCFyA,irrelevant,Music & Performance,,cover of anti hero by taylor swift
https://www.youtube.com/watch?v=WleLPIiHQTE,inappropriate,Inappropriate Clothing,Moderate,"animated turkish music video, lady drawn with skimmpy clothes and alcohol bottle"
https://www.youtube.com/watch?v=8ZkE4jmX4YY,inaudible,,,chinese performance video 
https://www.youtube.com/watch?v=MHEjNMXlyco,inappropriate,Sexual content,Mild,Becky G Receives the AMEX Impact Award From Billboard & American Express. Clip for mv which was kinda inappropriate
https://www.youtube.com/watch?v=6hXpVWnjZOs,inappropriate,"Drinking, drugs, smoking",Mild,punjabi song (3:20 timestamp)
https://www.youtube.com/watch?v=l3g4qjGFwNI,irrelevant,Travel & Adventure,,hotel ad
https://www.youtube.com/watch?v=Uo2XqNIyipI,irrelevant,Fashion,,Maryum N Maria eid collection
https://www.youtube.com/watch?v=gjwTkm84rZI,irrelevant,Education & Learning,,Teacher explaing a maths question about volumes and derivatives
https://www.youtube.com/watch?v=EJl7zwKsUuw,inappropriate,Physical Violence,Extreme,
https://www.youtube.com/watch?v=wHG44imps4g,irrelevant,Software,,Deliver digital products faster with Contentful
https://www.youtube.com/watch?v=XXTtipYlb7c,irrelevant,Fashion,,Eid collection
https://www.youtube.com/watch?v=4NFUR9vn2MU,irrelevant,Fashion,,Stylo sale
https://www.youtube.com/watch?v=Izl2dIW8f-E,inappropriate,Intimacy,Mild,Punjabi music video (has romantic in the title)
https://www.youtube.com/watch?v=5WJpSAWtI_4,irrelevant,Software,,CodeCademy testimonial
https://www.youtube.com/watch?v=BwkLVZI3Yrw,child directed,Play and Adventure,,vist dubai ad
https://www.youtube.com/watch?v=9lQRjx_tSU4,child directed,Play and Adventure,,
https://www.youtube.com/watch?v=9uyS14YN3MI,inappropriate,Scariness,Extreme,pakistani horror stories
https://www.youtube.com/watch?v=UtPkRBzpBrI,inaudible,,,music video idk what language
https://www.youtube.com/watch?v=_s7cjRLMJvE,irrelevant,Music & Performance,,indian song 
https://www.youtube.com/watch?v=HZH9lebHzEE,irrelevant,Software,,metabuddy app to make personalized workouts
https://www.youtube.com/watch?v=pjv66UC09AQ,irrelevant,Music & Performance,,Middle-aged man reactiong to babymonster's debut
https://www.youtube.com/watch?v=evRZzTpdX0E,inappropriate,Intimacy,Mild,indian movie trailer: 8 A.M. Metro is a story about two individuals who meet on a metro and form an unlikely friendship that changes their lives forever. This film highlights the power of human connection in overcoming difficult situations. Join us on this emotional journey of redefining hope and love in this fast moving world! 
https://www.youtube.com/watch?v=9jKIxTegjZ4,inaudible,Music & Performance,,cover of a song?
https://www.youtube.com/watch?v=EoA6MDcO6is,irrelevant,News & Current Affairs,,Why de-dollarization is spreading globally
https://www.youtube.com/watch?v=exaTYMyuTeA,irrelevant,News & Current Affairs,,winner of korea children's award
https://www.youtube.com/watch?v=MAFLyAW9xjQ,irrelevant,Machinery,,ad for nuts and bolts
https://www.youtube.com/watch?v=D1PhNRILU0o,irrelevant,Tech & Gadgets,,review of oppo phone 
https://www.youtube.com/watch?v=xxibRnl8eEI,inappropriate,Sexual content,Mild,"hindi song, shady dancing"
https://www.youtube.com/watch?v=UrEfux-8OX4,irrelevant,Fashion,,Maryum N Maria collection
https://www.youtube.com/watch?v=-tWvKMLaXVg,irrelevant,Home and Office,,Office chairs?
https://www.youtube.com/watch?v=WVJZa3Pizm8,irrelevant,Education & Learning,,University of Sunderland
https://www.youtube.com/watch?v=TSqmc4-Uzbg,inappropriate,Intimacy,Mild,Chandni Full Song | Pushkar Singh | Tannu | Mohit Tahkur | New Haryanvi Songs Haryanavi 2023
https://www.youtube.com/watch?v=IbbbOor0c8Y,irrelevant,Personal Care & Beauty,,
