Video Link,Primary Tag,Secondary Tag,Rating,Description
ZiG6_qOoWOc,irrelevant,Sports & Athletics,-,ad pertains to what seems like a sports academy commercial;  pertains to vacational programs
34u1sOLrgVo,child directed,Educational Content,-,ad pertains to AdaptedMind's game for teaching math
-bBjmpW76H4,irrelevant,Home and Lifestyle,-,ad pertains to paints
K63LtubqNKE,irrelevant,Home and Lifestyle,-,ad pertains to Elaway's home EV station charging installation
BILwMq8heEg,irrelevant,Fashion,-,ad pertains to Swatch's wrrist watches
CptNKHajiMk,irrelevant,Autos & Vehicles,-,ad pertains to the Hyundai Ioniq 6 EV
oGdJGsmw3Tk,irrelevant,Sports & Athletics,-,ad pertains to bicycles by Skeppshultcykeln
6_-rTRfH2FA,irrelevant,Software,-,ad pertaiins to a file format manipulation API
I_C1NBLvcgw,irrelevant,Software,-,ad pertains to Shopify Plus analytics
pQCEjKkSvdA,irrelevant,Finance & Legal,-,"ad pertains to Anyfin, a fintech company"
kUbFzG5dPa8,irrelevant,Education & Learning,-,ad pertains to KYH vocational college
Imlwc6AB5R8,irrelevant,Home and Lifestyle,-,ad pertains to a hidden decking system
VxOpAILi20Q,irrelevant,Business & Entrepreneurship,-,ad pertains to a professional film making company
I9lMQ7jo3m0,child directed,Non-violent video games,-,ad pertains to a LEGO racing game; rated PG7
1cDeAfoe8H8,irrelevant,Business & Entrepreneurship,-,ad pertains to an organization contributing to a better business climate
BoPjJn83yXQ,irrelevant,Travel & Adventure,-,ad pertains to a travel agency for summer travelling
S07Jw63zp-o,irrelevant,Tech & Gadgets,-,ad pertains to a wall EV charging station
_JVlq6z_aGo,irrelevant,Social Issues & Activism,-,ad pertains to young leaders and their perspectives of sustainable development
z7HeRmSIA9o,irrelevant,Software,-,ad pertains to Aircall for business use
oC8J7BnW0-0,child directed,Play and Adventure,-,"ad pertains to Jump Yard, a trampoline park for kids"
ZelVyOCWqAU,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; contains inherent romantic dynamic; some display of intimacy present
IFUn373eiXA,irrelevant,Home and Lifestyle,-,"ad pertains to RIPO International, a company selling garage doors etc"
XnQmfKR1rJ4,irrelevant,Business & Entrepreneurship,-,ad pertains to a company which buys gold
ygJN6flMcqI,irrelevant,Home and Lifestyle,-,ad pertains to comfartable recliner chairs for homes
F3dDHDF4ZTk,irrelevant,Tech & Gadgets,-,ad pertains to Sodastream's machine for making sparkling water at home
sFdKlSQKUXA,child directed,Play and Adventure,-,ad pertains to a theme park; shows a cartoon promoting the theme park
yLSOcKmWvAQ,irrelevant,Personal Care & Beauty,-,ad pertains to Kleenex Allergy wipes
iCKsGTbd4Dg,irrelevant,Fashion,-,ad pertains to trekkign books
jZnmUV4eZew,inaudible,Different Language,-,ad pertains to a music video in a different language; is inaudible
xSoItx15LVE,irrelevant,Autos & Vehicles,-,ad pertains to Yamarin's boats
8iWD7UtQ0H4,irrelevant,Software,-,"ad pertains to a banking app, Western Union"
6__mSOfmq4E,excluded,,-,ad video is unavailable
rc4e3EPKXys,irrelevant,Software,-,"ad pertains to a banking app, Western Union"
QahROQ0QOSw,inaudible,Different Language,-,ad is in a different language; unable to pinpoint what the ad is about
OCL0ew1n-6o,irrelevant,Fashion,-,ad pertains to Longiness's wrist watches
c1D_6-RFhC8,irrelevant,Home and Lifestyle,-,ad pertains to a day in the life vlog; in a different language so unable ot make out what's being said; does not seem inappropriate
i8K9tIf89JY,irrelevant,Business & Entrepreneurship,-,ad pertains to a n airline; features kittens
DGDrkv-3L0s,child directed,Toys,-,ad pertains to Disney LEGO toys
MFciThGsY4s,irrelevant,Software,-,ad pertains to a banking app; Western Union
bQES_F6c7c8,child directed,Educational Content,-,ad pertains to AdaptedMind's game for teaching math
ohTGoh6wFOw,irrelevant,Home and Lifestyle,-,ad pertains to a business helping with property maintainence plans
5d4y_3j3N_E,irrelevant,Fashion,-,ad pertains to summer dresses for women
BTpKhsOV2Pw,irrelevant,Home and Lifestyle,-,ad pertains to an energy optimising company
-Yzi707xf5Y,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to Club Marvy resorts; shows people drinking
xis-u5vGsFs,irrelevant,Autos & Vehicles,-,ad pertains to Kia Sportage plug in hybrid
b-_3iyF9RnA,inappropriate,Unsuitable Video Games,mild,ad pertains to an youtublers playing an online game (Start Stable); game is rated PG9+
-oS66OR0DjQ,irrelevant,Autos & Vehicles,-,ad pertains to Kia Sportage plug in hybrid
Q3IZ_njcyMc,irrelevant,Autos & Vehicles,-,ad pertains to Kia's car
p1MaI8tYl50,irrelevant,Autos & Vehicles,-,ad pertains to Fiat's van
JwE0HDhUBNg,irrelevant,Tech & Gadgets,-,ad pertains to tech deals at a gaming store
_y2CaMwwymE,child directed,Cartoons,-,ad pertains to LEGO friends
qhvwsEkd9iI,irrelevant,Business & Entrepreneurship,-,ad pertains to jobs at an IT department at an insurance company
xDTVvN1HpIA,irrelevant,Travel & Adventure,-,ad pertains to Contessa Villas in Croatia 
