Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=89hxA08DHgE,irrelevant,Software,Web services for websites,
https://www.youtube.com/watch?v=an-96DZu5uk,child directed,Toys,hotwheels,
https://www.youtube.com/watch?v=kzcYiWy6Fe4,child directed,Play and Adventure,outdoor resort with activities for children,
https://www.youtube.com/watch?v=10NuWGwQBIk,inappropriate,Scariness,"creppy, mentally disturbing animated game",Moderate
https://www.youtube.com/watch?v=-ma-zLlW8oE,irrelevant,Travel & Adventure,home rental like airbnb,
https://www.youtube.com/watch?v=3OlWU45Sq9Q,irrelevant,Business & Entrepreneurship,copywriting tool,
https://www.youtube.com/watch?v=SY3qanb6MYE,irrelevant,Science & Technology,innovation - product to reduce home heatednedd,
https://www.youtube.com/watch?v=HkwMY0xrs8M,irrelevant,Travel & Adventure,skiing,
https://www.youtube.com/watch?v=miVlGrCBAE8,inappropriate,Scariness,"fire, suspensful music, slight display of a gun",Moderate
https://www.youtube.com/watch?v=v0ilN9wB2Cw,irrelevant,Education & Learning,Business school test,
https://www.youtube.com/watch?v=4KYK9tIQ4NQ,irrelevant,Home and Lifestyle,homes and sales,
https://www.youtube.com/watch?v=Zhfya7tKOQQ,irrelevant,Home and Lifestyle,products for home like barbecue grill,
https://www.youtube.com/watch?v=LY2dO81sJWg,irrelevant,Fashion,shoes,
https://www.youtube.com/watch?v=2JCtG_URvBI,irrelevant,Fashion,shoes,
https://www.youtube.com/watch?v=pfw5eBFwY8g,irrelevant,Gaming & Entertainment,vlog,
https://www.youtube.com/watch?v=WlARRkI4ZMc,irrelevant,Fashion,shoes,
https://www.youtube.com/watch?v=AZl0knF_25k,irrelevant,Software,cloud service,
https://www.youtube.com/watch?v=NmKL8hq4El0,irrelevant,Software,management tool ,
https://www.youtube.com/watch?v=MiL1hMXpXdw,excluded,,,
https://www.youtube.com/watch?v=npyn7CDAFO8,irrelevant,Gaming & Entertainment,card game pack review,
https://www.youtube.com/watch?v=B1zyJGOr5-s,irrelevant,Education & Learning,grammarly,
https://www.youtube.com/watch?v=_BkMz-SieCU,irrelevant,Machinery,industry ,
https://www.youtube.com/watch?v=y-ulEmn1NFc,child directed,Toys,police mission toys,
https://www.youtube.com/watch?v=HEaikVlUgMY,irrelevant,Software,adobe acrobat,
https://www.youtube.com/watch?v=ekAARQz-ezE,irrelevant,Home and Lifestyle,bathroom retailer,
https://www.youtube.com/watch?v=oVpvaUBdTjA,irrelevant,Fitness & Exercise,trainers for running /jogging,
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,ecommerce web service,
https://www.youtube.com/watch?v=-9m710pHDK4,inappropriate,Intimacy,slight intimacy in a music video,Mild
https://www.youtube.com/watch?v=_UFkghfhSa4,irrelevant,Machinery,hardware equipments,
https://www.youtube.com/watch?v=EUkgufXpSUw,irrelevant,Business & Entrepreneurship,business talk,
https://www.youtube.com/watch?v=f-t01OW01Bw,inaudible,Different Language,,
https://www.youtube.com/watch?v=V-pMvtbFRVs,child directed,Fashion,kids clothes,
https://www.youtube.com/watch?v=cXkwUS2_hCE,irrelevant,Finance & Legal,bank card,
https://www.youtube.com/watch?v=N87P2nzX7Ts,irrelevant,Fashion,ikea bags,
https://www.youtube.com/watch?v=pf2VCoJegWo,child directed,Toys,barbie dolls,
https://www.youtube.com/watch?v=n0MfXP-xJwU,child directed,Non-violent video games,playstation chlid games,
https://www.youtube.com/watch?v=2MZorrqQ32U,irrelevant,Home and Lifestyle,bulbs ad,
https://www.youtube.com/watch?v=a_0zhzLg8I0,irrelevant,Gaming & Entertainment,nerf gun games,
https://www.youtube.com/watch?v=x4JQiCQqMVw,irrelevant,Software,cybersecurity service,
https://www.youtube.com/watch?v=B18zadb2Dm0,irrelevant,Education & Learning,yt premium to keep music on while phone off while studying,
https://www.youtube.com/watch?v=wZ7Amwl-YAk,irrelevant,Home and Lifestyle,tools/equipments for home,
https://www.youtube.com/watch?v=-7Y-Y8vBNJw,irrelevant,Education & Learning,school bags,
https://www.youtube.com/watch?v=-tnEqm9rric,irrelevant,Travel & Adventure,travel guide,
https://www.youtube.com/watch?v=nOzWKOwQ-fk,child directed,Toys,surpise doll toys,
https://www.youtube.com/watch?v=NQTlmeBEpiQ,irrelevant,Home and Lifestyle,bath tub - walk in,
https://www.youtube.com/watch?v=bzDD8ItXmXY,irrelevant,Software,service for marketeers,
https://www.youtube.com/watch?v=RH45frlpUcE,irrelevant,Parenting & Family,walkers,
https://www.youtube.com/watch?v=j1ObHbgNaEI,irrelevant,Travel & Adventure,car rental for travel,
https://www.youtube.com/watch?v=WpvfczxbkyQ,child directed,DIY & Arts and Crafts,card making,
