Video Link,Primary Tag,Secondary Tag,Description,Rating
60ZP9391QjM,irrelevant,Home and Lifestyle,ad for a washing powder,
yXDt7RpRNp8,irrelevant,Music & Performance,"english song , lyrical video only",
4oHk3HNyp6g,inaudible,Different Language,song in arabic with arabic text/lyrics in the video only,
DyIMb0oO8Qw,child directed,Cartoons,labelled cartoon video,
hIdMWXJNMJ0,irrelevant,Food and Cooking,coke zero ad,
OGmjqI40Xco,irrelevant,Personal Care & Beauty,make up video using Loreal products,
GpjPsIzGRY4,child directed,Storytelling,peter pan animated storu,
RbuYchAUtWQ,irrelevant,Software,creator tool kit,
gmpKcJIaqSY,irrelevant,Health and Wellness,"green tea, healthy living ad",
Mn8_DspA3fY,child directed,Storytelling,crow's story,
b_iyfsH6tuw,irrelevant,Documentary & History,ali baba's story,
6_6mpMrg66Q,inappropriate,"Drinking, drugs, smoking","multiple relationships/cheating/drinking, physical intimacy, hitting.a woman",Extreme
oiNHSwGX5yI,inappropriate,Physical Violence,"hitting, weapons, guns, fire, jail",Extreme
0Ahim5aJmp8,inaudible,Different Language,korean song,
GWAVshatzXE,irrelevant,Music & Performance,announcements of concert dates and places of a band,
BjoOUjZ3x4k,irrelevant,Music & Performance,"punjabi, qatari song",
h8_iBoGxDjE,inappropriate,Sexual content,"show of skin, inappropriate clothes, physical intimacy/closeness, different language song",Extreme
bF7qGvwSF9k,irrelevant,Tech & Gadgets,ad of a sim,
scWu-Sng5-E,inappropriate,Unsuitable Video Game,"animated video game, but with scary mermaids and violence",Moderate
81v2Umfsxn4,inappropriate,Physical Violence,"trailer of a movie in a different language, beating/punching/slapping people",Moderate
JpNCpykjPqk,irrelevant,Software,go daddy,
EmQ9S7Jg2v8,inappropriate,Sexual content,"sexual, physical and non physical intimacy",Extreme
ynOtYmpZxak,irrelevant,Music & Performance,song about getting stronger,
BNYSEpzgdDA,irrelevant,Social Issues & Activism,"empowering women, allowing them to ride bikes, by pepsi but focus on women",
6cqjBjmORZ4,irrelevant,Tech & Gadgets,samsung's phone ad,
QEGx472uSkw,inappropriate,Unsuitable Video Game,"animated video game, but with scary mermaids and violence",Moderate
7lKzb6BaDYM,irrelevant,Music & Performance,punjabi song,
dsSKSUePfsQ,irrelevant,Parenting & Family,nido ad,
I8T-K880ekU,inappropriate,Unsuitable Video Game,"high speed bike with differnet angles, pubg ad",Moderate
f7_CBM5ro70,irrelevant,Health and Wellness,ad/guidance for a doctor finder in germany,
Rg9DSNoiqrQ,inappropriate,Unsuitable Video Game,"scary animals, inappropriate scenes + too much violence",Extreme
kUlpO0DgLNQ,irrelevant,Food and Cooking,yoghurt ad,
RDWfSerDYTI,irrelevant,Parenting & Family,"nestle bunyaad, ad as a parental guidance on milk for children",
7uQTdlx1K60,inaudible,Different Language,"korean song, visually not inappropriate",
tzUSC8E1Dyc,inaudible,Different Language,korean song + ads mix,
9XqXxO2yVcw,inappropriate,Intimacy,physical and non physical intimacy in a song in a different language,Mild
7dc20mK0yko,irrelevant,Food and Cooking,add for tea,
drvkOz-2bDY,inappropriate,Intimacy,mostly non physical intimacy,Mild
RWXbz_bNdrw,inappropriate,Unsuitable Video Game,"pubg ad, realistic dinosaur, gun, fire",Extreme
yH224AheKNA,irrelevant,Fashion,online shopping page,
LHpjtxOhRUM,irrelevant,Music & Performance,english sng with just one woman sitting and ssinging,
NC1CAW6GRP8,inaudible,Different Language,"long tslk, discussing boxing and stuff probably in korean",
zRPLx4LZ0gE,irrelevant,Fitness & Exercise,"walk, run with ai, discussion on it in a different language",
lt1865AJzZQ,irrelevant,Nature & Environment,tortoise under sea,
HQDrs4t1Zyk,inappropriate,Intimacy,,Mild
_uXmL3GjnIc,inappropriate,Physical Violence,"kidnapping, kicking, beating etc shown",Moderate
2-4cN27eP9A,irrelevant,Food and Cooking,biryani cooking,
ftZ4w10sJXA,irrelevant,Food and Cooking,mayonaisse ad showing the cooking of a sandwich,
bkttDNQq370,inappropriate,Intimacy,"multiple relationships, display of fire",Moderate
ctt7UuK0yLE,irrelevant,Health and Wellness,"ad for panadol, displaying backpain",
9YXd0T7_idA,inappropriate,Intimacy,display of intimate scenes,Mild
Rcl5omP9slA,irrelevant,Gaming & Entertainment,"roblox like game, showing the creation of spider in it using the blocks",
9e_cbq2ks-U,irrelevant,Health and Wellness,ad of a toothpaste,
J0xPxNef6qY,irrelevant,Food and Cooking,"kurkure promoting ad, showing burgers made from kurkure",
h-nhJamKAMQ,inappropriate,"Drinking, drugs, smoking","intimacy, drinking, fire, physical riskyl stunts, inappropriate clothing, slight sexual content",Extreme
gvF0XKO4EvQ,inappropriate,Unsuitable Video Game,displaying weapons,Moderate
2SPQh6SzGfs,inaudible,Different Language,"podcast in a different language, mighttt be discussing politics",
u48ZINiLHgs,irrelevant,Home and Lifestyle,"buildings, super stores nearby, living area for people",
uL5CbkfFCGs,inappropriate,Extreme stunts ,"display of chemical activities, harmful, ",Mild
D44zVCnTiIM,child directed,Storytelling,thumbeline story  in gujrati,
LAzioiP0em4,inappropriate,Unsuitable Video Game,"violence,scary creatures, intimacy, fire and weapons tho animated",Moderate
cy-PfperPX0,irrelevant,Parenting & Family,cerelac's ad,
qgaUhxGlTi4,inaudible,Different Language,song in a different language,
IZztwWFVvdk,irrelevant,Tech & Gadgets,telenor ad,
r7C5EIuUQIY,irrelevant,Food and Cooking,nescafe coffee's ad,
ti53SexlYG0,irrelevant,Software,service to record and edit games we play,
fvrHIs6kOQM,inappropriate,Intimacy,"song with 1boy and many girls, display of intinacy",Mild
xVkHIB1HR74,irrelevant,Food and Cooking,strawberry 7up,
0d-8MCGX0WI,irrelevant,Education & Learning,"a show, with 10questions as an activity and learning",
DqaiTPvpZKQ,irrelevant,Home and Lifestyle,mosquito repellent spray ad,
b-zwl-iWWQU,irrelevant,Social Issues & Activism,"pubg ad, but barely about pubg, showing iftaar together, helping others",
3kjQ8OuAnz8,inaudible,Different Language,song in bangla probably,
TTZIUnhmyps,irrelevant,Music & Performance,punjabi song,
XzD2wrCtIGY,inappropriate,Sexual content,kissing scene,Moderate
SSwBpHxNPpM,child directed,Storytelling,the purple jar story,
Uo2XqNIyipI,irrelevant,Fashion,clothing ad,
rm43fgMY0Hk,irrelevant,Gaming & Entertainment,"pubg aquad up ad, nothing inappropriate shown",
lVEiZUq5dow,inaudible,Different Language,song or an anthem in a different language,
JyoTIrivdcc,irrelevant,Personal Care & Beauty,korean sunscreen ad,
nOxZiav_pv8,child directed,Educational Content,"mathematical, animated, learning ",
ogeaBz72_qM,inappropriate,"Drinking, drugs, smoking",woman smoking in an arabic songs,Moderate
4g8Jd9EGSFk,inappropriate,Inappropriate Clothing,extremely inappropriate and sexual stuff,Extreme
_2MVfF0Tlog,inappropriate,Intimacy,slight displacy of intimacy between 2 people,Mild
BlQh_YJHbGw,child directed,Storytelling,animated birds story,
rCq-tR6j5O0,irrelevant,Software,website making services ,
xX54BnYxbbE,inappropriate,Unsuitable Video Game,violent game with scary characters,Moderate
wSfMWWtEiAs,irrelevant,Machinery,machine for irrigation systems,
_rrErcP4E5Q,irrelevant,Parenting & Family,nido,
JKDYEHOtx4s,child directed,Storytelling,animated story like fairy tales,
rinHQQiZlVs,inaudible,Different Language,"song in a different language, probably japanese",
osPUC2K7tNs,inappropriate,Scariness,fireworks shown on a wedding,Moderate
yp92m5FVQvc,inaudible,Different Language,"looks like a scene from a tv show, nothing visibly inappropriate",
4lfREv23G4w,inappropriate,Unsuitable Video Game,"violence,scary creatures, and weapons tho animated",Moderate
foaBqlYbRNQ,irrelevant,Software,"it infrastructures, servers",
mBhrqfCaCFE,irrelevant,Food and Cooking,cream cheese spread making,
7dWVS8Ieezg,irrelevant,Food and Cooking,pepsi ad,
7KrbVTzkU0M,irrelevant,Autos and Vehicles,"cars driven around, muysic in background",
i--qBLB_Wfg,inappropriate,"Drinking, drugs, smoking","display of wine, fireworks, excessive skin exposure",Moderate
APmi19s_DC8,inappropriate,Display of Weapons,"gun, shot a person, violence, intimacy, smoking",Extreme
HCcOk_MT8Z0,inappropriate,Sexual content,"song in a different language with too many kissing scenes -_-, intimacy",Extreme
Txr8HJokGPg,irrelevant,Food and Cooking,everday milk ad,
gePyB7V5iRg,inappropriate,Unsuitable Video Game,pubg ad with shooting,Moderate
5708Yvss0bo,irrelevant,Fashion,different types of shoes,
juEvOtI1P1Q,irrelevant,Software,grammarly business ad,
8yGChSYgZUY,child directed,Storytelling,red shoes story,
lhphLFP3bjs,irrelevant,Food and Cooking,homemade mayonnaise making,
FuyV5AloHWk,irrelevant,Autos and Vehicles,ad of a car,
bX-QlZJB-Kg,irrelevant,Social Issues & Activism,"web-series on child domestic labour, produced in collaboration with the Ministry of Law & Justice, the National Commission on Human Rights, and the Parliamentary Caucus on Child Rights.",
dRv96rpaP-Y,inappropriate,Stereotypes,"lowering the lower working cast, those who work at our homes and their children",Extreme
UUxJlzEVicI,irrelevant,Software,scheduling weeks of stuff easily ujsing this app,
Gym3vzboXlY,inappropriate,Physical Violence,"violence, guns, fire, shooting, intimacy, blood, death",Extreme
PzqplbYuDJE,irrelevant,Food and Cooking,pepsi ad,
-ll9RelW_QI,child directed,Storytelling,birds ad,
juMmiiqJU-o,irrelevant,Food and Cooking,shan masala ad,
vOjK3nPr5Tg,inappropriate,"Drinking, drugs, smoking","drinking, intimacy, relationships",Extreme
6pIeZIDa_4w,inappropriate,Extreme stunts ,extreme stunts on iced moluntains,
lvyHA4UmEVw,irrelevant,Music & Performance,"urdu/punjabi song, a soldier whose wife waits for him at home",
nhHOcpIBv34,irrelevant,Health and Wellness,panadol ,
DLZmHb3jqc0,irrelevant,Software,grammarly business ad,
QQDsJx1W-Ng,inaudible,Different Language,song in a differnt language,
_dBhupBADDU,inaudible,Different Language,song in a differnt language,
Lw9BVr_66pU,irrelevant,Science & Technology,"building automation systems, sustainability",
iP69G8_t5GA,inappropriate,Scariness,"animated bird cartoon, but showing a mother bird hitting its child with a stick, and the child crying, mentally distressing",Moderate
FwsISelITKY,irrelevant,Software,mobility software for SAP,
j8XHCUT3qSk,child directed,Storytelling,lazy girl fairy tale story,
CSWv2OT9rNg,irrelevant,Science & Technology,robotic lawn mower,
ovGPB76OP-k,inappropriate,Display of Weapons,"weapons, violence, blood, smoking , drinking",Extreme
8WDNBAmT9Kk,inappropriate,Extreme stunts ,people doing harmful physical stunts in a song video,Moderate
O53dIDTIaAY,irrelevant,Software,software to create videos,
DtXtP2JKxL0,inappropriate,Scariness,"suspenful themed, but animayted story of alibaba and the 40 theives, weapon and blood",Moderate
Rr2i3L5LgeQ,inaudible,Different Language,korean song,
zyf2kwnOELg,inappropriate,Extreme stunts ,"korean ig, army tv show with weapons, extreme physical stunts, shooting",Extreme
