Video Link,Primary Tag,Secondary Tag,Description,Rating
CwJ1v4luLSw,irrelevant,Food and Cooking,7eleven's coffee ad,
lLbK2LfI1Uk,irrelevant,Autos and Vehicles,hyundai car ad,
Kz6z37EWk9g,irrelevant,Parenting & Family,"amazon, kids starry tents ad for play and fun",
6wJlzKk7d7o,inappropriate,Display of Weapons,"guns, weapons, person tied by a tape, ad to show how to escape duct tape",Moderate
6JXhs01Kg5s,irrelevant,Fashion,shoe ad,
5wq7G-D5Ca0,irrelevant,Home and Lifestyle,cooling and warming bed,
itk0T1IlbsQ,irrelevant,Gaming & Entertainment,yt permium ad,
v3bp-v8QTdI,irrelevant,Autos and Vehicles,"bentley ad, a car ad",
Z92KBycHuQg,irrelevant,Health and Wellness,alzehimer's support video,
Us_CLXRHSZc,irrelevant,Food and Cooking,kfc chicken,
W3n-LAojfKc,irrelevant,Science & Technology,robotics competition,
G1RetEbCOJw,irrelevant,Food and Cooking,7eleven's coffee ad,
snw6FKbGVsw,irrelevant,Home and Lifestyle,coffe maker ad,
1xi1XneyQ2g,irrelevant,Fashion,"boots ad, for rain and work",
w3Y1X0GEDOk,irrelevant,Food and Cooking,"ad of a food chain, probably mexican",
mVKDrykzpAY,irrelevant,Finance & Legal,life insurance company,
k6s5EtJ0Qv0,irrelevant,Autos and Vehicles,mitsubishi car ad,
vxoiru1QujQ,inappropriate,Scariness,"fire, knives, cutting meat with a big knife",Moderate
A0vn0K-3ax4,irrelevant,Health and Wellness,migraine pain medicine ad,
-62wS6rMRp4,irrelevant,Travel & Adventure,japanese summit to get to know the culture,
Uqi7OEzyWfI,irrelevant,Personal Care & Beauty,body care like body gel spray and lotion ad,
z3qLhSpqjNQ,irrelevant,Parenting & Family,pinterest ad for ideas about cute children nurseries,
3UcT7u0KsmA,irrelevant,Finance & Legal,loan to buy property ad,
mxD7bUeJb74,irrelevant,Fashion,aldo shoes ad,
KdApbqUhHBI,irrelevant,Business & Entrepreneurship,business talk,
yujvWPvzvL8,inappropriate,Extreme stunts ,"racing car, too much speeding",Mild
mi_NVWxOEfE,irrelevant,Education & Learning,foreign university application ad,
umjz5hU3qCY,irrelevant,Business & Entrepreneurship,departmental store in Iceland ,
_TQFFlHxNDs,irrelevant,Autos and Vehicles,cars ad,
CZxydiEh5yU,irrelevant,Social Issues & Activism,"car donation foundation, to help kids",
2PSI8y6um0U,irrelevant,Personal Care & Beauty,make up and hair styling vlogger video,
G4o-Y01r-bY,irrelevant,Fashion,"jewellry, gold/dismonds ad",
4nMxJ0ieguo,inappropriate,Extreme stunts ,too much overspeeing a car,Mild
ukXRPeKb0QQ,child directed,Toys,lego,
zLAjVRBuvSQ,irrelevant,Parenting & Family,strollers ad,
ba9Ka70VCgg,irrelevant,Software,designing tool to design apps and webs,
j8XHCUT3qSk,child directed,Storytelling,lazy girl story in chinese,
4Ur1m9Dxpmc,irrelevant,Autos and Vehicles,audi car ad,
6dUBFiqFpHU,irrelevant,Education & Learning,bootcamp to learn programming,
vRmw1Pw-KRU,irrelevant,Software,"wix, website builder",
iMLyR2BbtGU,irrelevant,Tech & Gadgets,"consumer cellular network ad, mobile network",
TpSWRAktPVo,irrelevant,Health and Wellness,medicine to treat eczema,
zz2o7dckvA4,irrelevant,Personal Care & Beauty,clipper ad,
bG7CxJwCQVA,irrelevant,Gaming & Entertainment,gaming/activity/playarea ad with games,
qrS46ASAAOI,irrelevant,Autos and Vehicles,"car, SUV ad",
p9CCw0G_zO0,irrelevant,Software,control monitoring software,
b0ab0-VUJTA,irrelevant,Tech & Gadgets,car audio systems,
LKDTPZuIpAY,child directed,Non-violent video games,multiple games for children,
U92P8zBoJDo,irrelevant,Autos and Vehicles,"honda, electric, hybrid car ad",
2rzMMeYnhyQ,irrelevant,Autos and Vehicles,delivery company,
RY1EOlI8hjs,irrelevant,Travel & Adventure,adventrures like fishing boating etc\,
dJQoYHJKMm0,child directed,Cooking and Food,"gogo squeez pouches, healthy fruit drinks for children",
scuc2Po0YQk,irrelevant,Fitness & Exercise,running machine for fitness,
2UnJgVMgiSA,irrelevant,Food and Cooking,tea party ad of a grocery store,
GZ11_rjvBnI,irrelevant,Food and Cooking,honey ad,
NVFm4b7Xuxw,inappropriate,Self-harm & Suicide,"lgbt portrayal, drinking shown",Moderate
WAR-n9tCLwE,irrelevant,Personal Care & Beauty,body wash ad,
IZEZ6PxL6AM,irrelevant,Autos and Vehicles,KIA car ad,
rTjDJZHZ5oQ,irrelevant,Gaming & Entertainment,star trek hero master game,
EE45eTVQjC4,irrelevant,Autos and Vehicles,hyundai car ad,
aM4MsTtrn60,irrelevant,Finance & Legal,"bank ad, bank overdraft relief",
txLSE7tpgr0,inappropriate,"Drinking, drugs, smoking","drinking, weapons like knife etc shown",Moderate
PQLLyVYL4WU,inappropriate,Unsuitable Video Game,"violent video game, guns,  shooting, blood, zombies",Extreme
Wl5hN8NA71U,irrelevant,Fitness & Exercise,"training, gym ad, for fitness, workout shown",
bY5UCzMvqgA,irrelevant,Health and Wellness,video on dietary guidance about constipation,
1dpHBsOAqOk,irrelevant,Finance & Legal,"AI Bot for trading, automated trading system to earn better",
mr7lps2J0cI,irrelevant,Home and Lifestyle,cat food,
BmuGZz_lKwo,inappropriate,Scariness,"scary, dark, suspenful themed trailer of a movie, drinking",Extreme
6v3sIzBX8Q8,irrelevant,Autos and Vehicles,GMC car ad,
sY_73xMg0Co,inappropriate,Display of Weapons,"dispaly of gun, shooting, iviolence using other objects, dark trailer",Extreme
XSA5evVXnac,irrelevant,Tech & Gadgets,fibre optic network ad,
RzwSlCLvcwk,irrelevant,Home and Lifestyle,"lysol, laundary sanitizer ad",
hRg5HCeykno,irrelevant,Tech & Gadgets,"google pixel fold, phone ad",
BjIGP-L_caA,irrelevant,Tech & Gadgets,"google pixel fold, phone ad",
zbFzMuinrM4,irrelevant,Autos and Vehicles,"hyundai car ad, hyundai tuscon",
1e2laFAfKTE,irrelevant,Fitness & Exercise,"workout at home, cycling/treadmill ad, high tech machine",
g57YhGhuedI,inappropriate,"Drinking, drugs, smoking","ad against smoking, but showing animated ciggarettes",Mild
SsL6RVQlIRk,irrelevant,Software,grammarly ad to help with business stuff,
2COOBHx6WVw,irrelevant,Food and Cooking,"amazon ad for cooking, utensiles, pots etc",
bB1YXqMEf2A,child directed,Non-violent video games,video game for children,
U-PLKNmmU8s,irrelevant,Home and Lifestyle,apartments ad,
6yT9YywZs-0,inappropriate,Scariness,"transformers, huge robotic animals",Moderate
kNn-U0-4hfY,irrelevant,Autos and Vehicles,audi car ad,
7kZ3CJjvl30,irrelevant,Personal Care & Beauty,"la rosche posay, sunscreen ad",
B-1wt3vITcQ,inappropriate,Extreme stunts ,"too much overspeeing a car, fire, car ad",Moderate
f5M0YN3ftsU,irrelevant,Autos and Vehicles,online place to buy and sell cars,
WVdDU7FEFNo,irrelevant,Parenting & Family,"pampers, diapers ad",
H5q5BclgVmM,irrelevant,Travel & Adventure,resort in mexico ,
sPmlITvb1xc,irrelevant,Nature & Environment,talk about preserving nature,
qZcNaQHqpzk,irrelevant,Home and Lifestyle,"cat health, for fleas",
rs2t0PyaLBc,irrelevant,Business & Entrepreneurship,adobe acrobat ad,
U6BovNVh-FA,irrelevant,Home and Lifestyle,laundary detergent ad,
GpjPsIzGRY4,child directed,Storytelling,"peter pan, fairy tales",
5y0gE5pgQHs,inappropriate,"Drinking, drugs, smoking","law but, but display of wine in a bottle and glass",Mild
NAu2tvSmdPw,inappropriate,"Drinking, drugs, smoking",display of people drinking,Mild
si4jLVzYfN8,irrelevant,Health and Wellness,"ionized water ad, hydration promotion",
Uytmors2b4w,irrelevant,Software,chrome i/o ad,
nXQmxYHnS8A,irrelevant,Home and Lifestyle,"ashley, home interior, sofas, barbecue grill etc ad",
xau7QgIhlFM,irrelevant,Food and Cooking,fruit bars/ice lollis ad,
Qi4J1OAv-5Q,irrelevant,Fitness & Exercise,home workout challenge,
OSVt9LgdMyw,irrelevant,Tech & Gadgets,network service ad,
eAaGk2lehf0,irrelevant,Finance & Legal,fleet management compnay ad,
U_1wPwOJceg,irrelevant,Fashion,waterproof shoes ad,
6KvYx_FdI9U,irrelevant,Food and Cooking,twix chocolate bar ad,
5o6LcdFQXJM,irrelevant,Education & Learning,online summer school ad,
dy1TG0gTif4,irrelevant,Personal Care & Beauty,green tea powder facewash ad,
rB4-5zasOX4,irrelevant,Travel & Adventure,"making your house a travel destination , similar to air bnb stuff",
-JrOKkFUT10,irrelevant,Autos and Vehicles,cars insurance ad,
eJ5FpTltXZU,irrelevant,Software,the new google i/o ad,
g-5vo2lvyFw,irrelevant,Health and Wellness,video on dietary guidance about constipation,
MK6aXbNRK0c,irrelevant,Business & Entrepreneurship,"business conference and expo by online publishing network for retail executives, retail touchpoints",
mhFDhNWZhc8,irrelevant,Software,remote access to one's desktop tool,
5migCYgrQnU,irrelevant,Business & Entrepreneurship,"qatar economic forum, business and other talks",
EXl4cwkpMPU,inappropriate,Scariness,web service ad. but scary and creepy creatures shown,Moderate
B1zyJGOr5-s,irrelevant,Education & Learning,grammarly ad to help with educational stuff,
ilNE_QonUyg,irrelevant,Autos and Vehicles,rent a car service,
Sx9suKjt3pk,irrelevant,Tech & Gadgets,"headphones ad, bose company",
NWZn4Eqf2JM,irrelevant,Science & Technology,"new invention in a cooling system, in the US, leaving behind AC",
5noT0NKz73s,irrelevant,Autos and Vehicles,NAPA company for cars care and parts,
WRhscVfEj3I,irrelevant,Health and Wellness,prevention from fleas for pets like cats and dogs,
jpe3xzFBJ7Y,irrelevant,Home and Lifestyle,walmart ad,
zsWSnj9obv0,irrelevant,Parenting & Family,"kids summer fun, activity kits etc",
lyHzP8_XTSM,irrelevant,Finance & Legal,financial security,
3d1pcr-CNl4,irrelevant,Personal Care & Beauty,hair products ad,
ZUA-x03ogGY,irrelevant,Fitness & Exercise,"workouts at home, bike programs",
a1quVfbq2mY,irrelevant,Personal Care & Beauty,hair products ad,
eYpdJ09LPUI,irrelevant,Health and Wellness,medicine for slight migraine attacks,
N2R6zayw8dc,irrelevant,Tech & Gadgets,mobile network service ad,
5RwtWPO_Nb8,irrelevant,Finance & Legal,consultancy for father's law and divorce,
1toFNig1A14,irrelevant,Travel & Adventure,"resort for holidays with activites for kids and adults, family holidays",
G_g80C3RnAU,irrelevant,Home and Lifestyle,"offie designing, workspace designing",
0VnbpCU9JZs,irrelevant,Gaming & Entertainment,yt permium ad,
kvjttbrCLjk,irrelevant,Fashion,aldo shoes ad,
E4dKDfThrnQ,irrelevant,Health and Wellness,protection for cats against ticks and fleas,
FvEJpmTJUwQ,irrelevant,Software,accounting software,
yZGfToMHKQ4,irrelevant,Health and Wellness,medicine for slight migraine attacks,
ozvJ1_Od7Dw,irrelevant,Fashion,customizable tote bags,
Bc23U8ACTiM,irrelevant,Health and Wellness,promoting to not smoke,
SYaw_78F9GE,irrelevant,Business & Entrepreneurship,women telling about her journey of developing an online business,
bd58GG9HuyA,irrelevant,Home and Lifestyle,company for storing and mocing home items,
pe6jK2eEd20,irrelevant,Travel & Adventure,safari park for kids and fun,
14G6xHIQn3o,irrelevant,Health and Wellness,allergy relief ad,
gc9-4oq1idA,child directed,Movies,"elemental movie, animated, different elements like fire and water together",
lC1nK82Cblk,irrelevant,Autos and Vehicles,cars to fix existing cars,
5YagUlY9_Uc,irrelevant,Education & Learning,grammarly ad for educational help,
E1PLYz1Bd9g,irrelevant,Finance & Legal,lawyers for personal injury,
_rlUys5a844,irrelevant,Education & Learning,"higher education, university ad, ",
rwSek6iLDgo,child directed,Toys,"superstore type for kids toys, candies, games etc",
c1ayrXo5xQY,irrelevant,Education & Learning,university to study and learn cars,
DaCdSfkbFXk,irrelevant,Tech & Gadgets,cameras ad,
