Primary Tag,Secondary Tag,Rating,Description
irrelevant,Autos & Vehicles,,ad showing a honda car being driven in various terrains.
irrelevant,Software,,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
irrelevant,Machinery,,ad showing a sale offer on home use drills
irrelevant,Software,,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
irrelevant,Gaming & Entertainment,,interview between Bianca Belair and Kevin Hart. Talk about various aspects of professional life
irrelevant,Home and Lifestyle,,matress ad showing a family checking out matresses. ad focuses on a com
irrelevant,Gaming & Entertainment,,"Director Ford Fairchild sits down to chat about how he is feeling about the release of Brooke Eden's music video for ""Got No Choice."""
irrelevant,Autos & Vehicles,,Audi SUV ad. Shows a woman driving it around the city
child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
irrelevant,Software,,software about digital security. shows features about the application
irrelevant,Software,,"Adobe's software showing a woman siging a contract for a kids playhouse. even though the video is child friendly, it is directed towards parents"
child directed,Play and Adventure,,Ad focused on promoting Disney's resorts for children. Shows different venues and activities
child directed,Toys,,Ad of a rubics cube with different colors. shows kids playing with it
irrelevant,Parenting & Family,,Video of parents sharing their experience of travelling with kids and guidlines on what works for them 
child directed,DIY & Arts and Crafts,,Ad for a company selling flowers for children to gift their moms. shows moms giving testimonials
irrelevant,Finance & Legal,,Ad for an insurance company acnisure. Slides show their insurance perks
irrelevant,Home and Lifestyle,,Ad showing a woman checking furniture from the company Ashley
irrelevant,Home and Lifestyle,,Ad for a home interior curator. Ad shows a couple testifying to their capabilites
irrelevant,Education & Learning,,Ad showing a father exploring UMass courses in his spare time
child directed,Toys,,Ad showing different mobility features of a mariocart toy and a child controlling it with a remote
child directed,Play and Adventure,,Ad showing the activities at universal's theme park
irrelevant,Parenting & Family,,Shows babies wearing different clothes and playing with each other
irrelevant,Parenting & Family,,Ad showing a conversation between two people where one tells they got flowers for their mom through the website
child directed,Storytelling,,ad shows a story based on dolls 
child directed,Toys,,ad showing kids filling up water baloons and sliding in water slides. about a tool to fill water baloons
irrelevant,Business & Entrepreneurship,,ad showing a woman testifying to the use of her workspace to carry her businesss
child directed,Movies,,shows a trailer of a reanimated movie based on the famous disney character the little mermaid
irrelevant,Education & Learning,,Ad showing a woman exploring different subjects at syracuse university
child directed,Toys,,Ads showing kids playing with mario themed lego bricks
irrelevant,Parenting & Family,,Ad showing a conversation between two people where one tells they got flowers for their mom through the 
child directed,Cartoons,,video from Star Wars: Young Jedi Adventures showing the characters going on an adventure to save their robot friend 
irrelevant,Software,,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
irrelevant,Software,,Ad showing a website that focuses on tracking user engagement (Pendo)
irrelevant,Travel & Adventure,,Ad showing different parts of norway and promotions for travel
irrelevant,Sports & Athletics,,Ad showing a pro golfer going through his equipment and telling why it suits him
irrelevant,Machinery,,ad showing a robotics company showing a game they constructed
child directed,Play and Adventure,,Ad showing a family visiting a mickey mouse themed park
child directed,Cartoons,,Ad showing an animated cartoon based on the famous dinosaur franchise jurassic park where the characters go to explore the area
irrelevant,Software,,Ad for metrics tracking hotjar. shows features such as a pay as you go model
irrelevant,Home and Lifestyle,,Ad walking through luxury apartments and their features 
irrelevant,Home and Lifestyle,,Ad showing a woman testing a matress from Ashley
child directed,Poems/Songs/Nursery Rhymes/Music,,Ad by Youtube promoting youtube music for children audios
