Video Link,Primary Tag,Secondary Tag,Rating,Description
hyb0X-2tO4Y,irrelevant,Autos & Vehicles,-,ad pertains to Honda's electric cars
B1zyJGOr5-s,irrelevant,Education & Learning,-,"ad pertains to a video from the channel ''Learn English with Harry"", which is about some C1 English verbs "
YZKSwURK1zI,irrelevant,Home and Lifestyle,-,ad pertains to Lowe's Pro lineup of home power tools and applianes
5Jw6FRnziSA,irrelevant,Software,-,ad pertains to Grammarly's Grammarly GO for AI assistance for writing more professional messages
RG17rs3UnvQ,inappropriate,Crude Humor,mild,ad pertains to an episode of cold as balls; title and video contains some unsuitable humor for kids; 
iTt18nwB2EU,irrelevant,Home and Lifestyle,-,ad pertains to Ashley's mattresses
RvwiAxjgs_Q,irrelevant,Music & Performance,-,ad pertains to a diirector discussing the making of a music video
o7o8L_JX3jI,irrelevant,Autos & Vehicles,-,ad pertains to Audi Q5
SFMTA6h0cW4,child directed,Educational Content,-,ad pertains to AdaptedMind's cartoon teaching social studies
zEHeMhlQz0c,irrelevant,Software,-,ad pertains to Unit21's fraud prevention software
HEaikVlUgMY,irrelevant,Software,-,ad pertains to Adobe's PDFs suite
xdBaGjRAl18,child directed,Play and Adventure,-,ad pertains to the Walt Disney World Resort
wkQayCzwy-c,child directed,Toys,-,ad pertains to Rubik's Phantom :15 Rubik;s Cube
WyDfUCvSXUg,irrelevant,Parenting & Family,-,ad pertains to a guide about flying with kids; aimed at parents
4BlFe2X_u3U,irrelevant,Parenting & Family,,ad pertains to a company that provides flowers as gifts for mothers
CMqRbYoY2fk,irrelevant,Finance & Legal,-,"ad pertains to Acrisure, which is an insurance company"
XdpNEOnqqCA,irrelevant,Home and Lifestyle,-,ad pertains to Ashley's furniture
xQ14gUKv0M4,irrelevant,Home and Lifestyle,-,ad pertainst to outdoor tiles for homes by James Hardie
d6gFP6EjiCI,irrelevant,Education & Learning,-,ad pertains to Umass Global (online college)
cziU5vuwtbA,child directed,Toys,-,ad pertains to an RC cart based on Super Mario Bros.
S00iyCFRMfg,child directed,Play and Adventure,-,ad pertains to Universal Studio's theme park for kids and families
KXFpIQta8PA,irrelevant,Parenting & Family,-,ad pertains to Carters summer outfits
_OhqVItlc78,irrelevant,Parenting & Family,-,ad pertains to a company that provides flowers as gifts for mothers
QsWe4yHOKXk,child directed,Cartoons,-,ad pertains to an episode of American Girl Dolls
