Video Link,Primary Tag,Secondary Tag,Rating,Description
D2OFZhYs9jY,inappropriate,Unsuitable Video Games,mild,ad pertains to a visual arts Annual Creator Competition by the creators of a game Honkai: Star Rail. Game is rated 12+; it is concerning as the ad shows animation of the game itself in the beginning and end of the ad for a good amount of time
Szt7IphR5HA,inappropriate,Intimacy,mild,ad pertains to a  Punjabi music video; contains an inherent romantic dynamic; includes scene of intimacy
DyIMb0oO8Qw,child directed,Cartoons,-,"ad pertaisn to a cartoon ''Bimi Boo- Kids Songs for Learning"""
DAp5f9GaxM0,inappropriate,Intimacy,moderate,ad pertains to a Punjabi music video; inherent romantic dynamic; some scene show intimacy
pV5r5yMwz1c,irrelevant,Education & Learning,-,ad pertains to an online pronounciation course
rss4fwYspec,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; inherent romantic dynamic; some scenes show intimacy
c7e4ktm7otA,irrelevant,Music & Performance,-,ad pertains to a relaxing music theme while shows shops in a street; also shows religious sites
OuUPTy4i4Oo,irrelevant,Music & Performance,-,ad pertains to a song sung by a youtuber; contains multiple languages
mF7FvOe1MTc,inaudible,Different Language,-,ad pertains to a song in arabic; unable to understand lyrics
J9h3vC1WM4g,inappropriate,Intimacy,mild,ad pertains to a music video; contains inherent romantic dynamic; sexual undertones present
NXsN-3R00OQ,irrelevant,Nature & Environment,-,ad pertains to a video of elephants
rNoGVKHAud8,irrelevant,Music & Performance,-,ad pertains to a Punjabi music video about a father son bond
cTR9djV91pU,irrelevant,Music & Performance,-,ad pertains to a Punjabi song; inherent romantic dynamic;
Hxy0AEktdaQ,irrelevant,Software,-,ad pertains to an outro transition
yZYuyoWc6ZI,irrelevant,Software,-,ad pertains to Checkmk which is a monitoring software for IT infrastructure
Ril7ROmazvQ,irrelevant,Software,-,ad pertains to GoDaddy
ySmihdz6MFc,irrelevant,Music & Performance,-,"ad pertains to a music video; in Spanish, but subtitles show appropriate lyrics"
UtEoi-vI7s0,inappropriate,Offensive language,moderate,ad pertains to a rap music video; contains offensive language
WilnmR4lX6k,irrelevant,Travel & Adventure,-,ad pertains to a travel vlog
I6PSyvWiD-Y,irrelevant,Autos & Vehicles,-,ad pertains to Nissan's EV
4XjPFzefWhk,irrelevant,Machinery,-,ad pertains to a filters for indutrial machinery
bQES_F6c7c8,child directed,Educational Content,-,ad pertains to AdaptedMind's math game cartoon for kids
Ijwq-tTAwGg,inappropriate,Sexual content,moderate,ad pertains to a Spanish song; lyrics contain sexual references
ZYO9LyvARwM,inappropriate,Intimacy,mild,ad pertains to a cleaning company; the ads starts with a narration of girl about liking a man and inviting him to her apartment; hence contains romantic context unsuitable for children
TP9sWpfMTpM,inappropriate,Intimacy,mild,ad pertains to a Korean show's episode titled 'Will you marry me?' ; contains inherent romantic dynamic; very mildly inappropriate
6z90tA5_Vlw,irrelevant,Education & Learning,-,ad pertains to the IESA School of Management
